question,user query
List of sub category and country having sales more than 10k,Show subcategories and countries with sales greater than 10k.
List of sub category and country having sales more than 10k,"Display subcategories and countries where sales surpass 10,000."
List of sub category and country having sales more than 10k,Find subcategories and countries with sales above 10k.
List of sub category and country having sales more than 10k,"Reveal subcategories and countries with 10,000+ sales."
List of sub category and country having sales more than 10k,Indicate subcategories and countries with sales beyond 10k.
List of sub category and country having sales more than 10k,"Uncover subcategories and countries with sales topping 10,000."
List of sub category and country having sales more than 10k,Locate subcategories and countries with sales over 10k.
List of sub category and country having sales more than 10k,"Detect subcategories and countries with sales more than 10,000."
List of sub category and country having sales more than 10k in 2020,Which subcategories and countries had over 10k sales in 2020?
List of sub category and country having sales more than 10k in 2020,"Identify subcategories and countries with 2020 sales exceeding 10,000."
List of sub category and country having sales more than 10k in 2020,"In 2020, which subcategories and countries had sales of more than 10k?"
List of sub category and country having sales more than 10k in 2020,Show subcategories and countries with 10k+ sales in 2020.
List of sub category and country having sales more than 10k in 2020,Find subcategories and countries with sales over 10k in 2020.
List of sub category and country having sales more than 10k in 2020,"What are the subcategories and countries with 2020 sales above 10,000?"
List of sub category and country having sales more than 10k in 2020,Name subcategories and countries with more than 10k sales in 2020.
List of sub category and country having sales more than 10k in 2020,"List subcategories and countries with 10,000+ sales in 2020."
